fullName,parkCode,states,latitude,longitude,description_length,num_activities
New Bedford Whaling National Historical Park,nebe,MA,41.63540552,-70.92322321,398,3
New England National Scenic Trail,neen,"MA,CT",42.2915819137,-72.5242767334,396,8
New Jersey Pinelands National Reserve,pine,NJ,39.9384,-74.625,387,0
New Orleans Jazz National Historical Park,jazz,LA,29.96303129,-90.06749669,397,9
New Philadelphia National Historic Site,neph,IL,39.69803,-90.96131,373,1
New River Gorge National Park & Preserve,neri,WV,37.86878554,-80.99956002,300,46
Nez Perce National Historical Park,nepe,"ID,MT,OR,WA",46.07019093,-115.8761258,399,18
Nicodemus National Historic Site,nico,KS,39.39167606,-99.61680329,347,5
Ninety Six National Historic Site,nisi,SC,34.14273587,-82.01636079,304,23
Niobrara National Scenic River,niob,NE,42.79413083,-99.91870646,383,21
Noatak National Preserve,noat,AK,68.01027053,-159.831694,365,19
North Cascades National Park,noca,WA,48.71171756,-121.2069423,375,30
North Country National Scenic Trail,noco,"MI,MN,ND,NY,OH,PA,VT,WI",46.334400743,-90.8165630499,377,18
Obed Wild & Scenic River,obed,TN,36.1056026037,-84.5979170501,388,15
Ocmulgee Mounds National Historical Park,ocmu,GA,32.83816576,-83.60224853,398,14
Oklahoma City National Memorial,okci,OK,35.473,-97.5171,321,3
Old Spanish National Historic Trail,olsp,"AZ,CA,CO,NV,NM,UT",37.0791782514,-112.114693431,280,6
Olympic National Park,olym,WA,47.80392754,-123.6663848,387,54
Oregon Caves National Monument & Preserve,orca,OR,42.10319143,-123.4018586,298,25
Oregon National Historic Trail,oreg,"ID,KS,MO,NE,OR,WA,WY",41.9876977831,-109.634200841,357,9
Organ Pipe Cactus National Monument,orpi,AZ,32.03585543,-112.8573314,393,29
Overmountain Victory National Historic Trail,ovvi,"NC,SC,TN,VA",35.14044,-81.377,395,19
Oxon Cove Park & Oxon Hill Farm,oxhi,MD,38.80578214,-77.01131457,332,13
Ozark National Scenic Riverways,ozar,MO,37.13968894,-91.25709817,395,42
Padre Island National Seashore,pais,TX,27.05381186,-97.35901135,394,25
Palo Alto Battlefield National Historical Park,paal,TX,26.02387351,-97.46296072,329,18
Paterson Great Falls National Historical Park,pagr,NJ,40.91584645,-74.18021494,397,6
Pea Ridge National Military Park,peri,AR,36.45438033,-94.03468357,313,17
Pearl Harbor National Memorial,valr,HI,21.3670699388,-157.938578898,328,7
Pecos National Historical Park,peco,NM,35.54192238,-105.6814684,399,14
